gene	tumor	value	sample
MUC16	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
NF1	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
DNAH5	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
ATRX	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
FLG	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
PKHD1	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
TTN	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
MUC17	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
IDH1	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
TP53	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
AHNAK2	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
RB1	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
SYNE1	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
RYR3	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
RYR2	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
PCLO	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
GPR98	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
OBSCN	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
PTEN	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
APOB	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
FRAS1	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
SPTA1	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
PIK3CA	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
HMCN1	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
EGFR	TCGA-26-5139-01A-01D-1486-08	3	GBM-26-5139
Unknown	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
LRP2	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
PIK3R1	TCGA-26-5139-01A-01D-1486-08	2	GBM-26-5139
RELN	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
USH2A	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
MUC16	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
NF1	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
DNAH5	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
ATRX	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
FLG	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
PKHD1	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
TTN	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
MUC17	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
IDH1	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
TP53	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
AHNAK2	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
RB1	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
SYNE1	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
RYR3	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
RYR2	TCGA-26-5139-01A-01D-1486-08	0	GBM-26-5139
PCLO	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
GPR98	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
OBSCN	TCGA-28-5218-01A-01D-1486-08	3	GBM-28-5218
PTEN	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
APOB	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
FRAS1	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
SPTA1	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
PIK3CA	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
HMCN1	TCGA-28-5218-01A-01D-1486-08	3	GBM-28-5218
EGFR	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
Unknown	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
LRP2	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
PIK3R1	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
RELN	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
USH2A	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
MUC16	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
NF1	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
DNAH5	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
ATRX	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
FLG	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
PKHD1	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
TTN	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
MUC17	TCGA-28-5218-01A-01D-1486-08	3	GBM-28-5218
IDH1	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
TP53	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
AHNAK2	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
RB1	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
SYNE1	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
RYR3	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
RYR2	TCGA-28-5218-01A-01D-1486-08	0	GBM-28-5218
PCLO	TCGA-28-5219-01A-01D-1486-08	3	GBM-28-5219
GPR98	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
OBSCN	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
PTEN	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
APOB	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
FRAS1	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
SPTA1	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
PIK3CA	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
HMCN1	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
EGFR	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
Unknown	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
LRP2	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
PIK3R1	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
RELN	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
USH2A	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
MUC16	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
NF1	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
DNAH5	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
ATRX	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
FLG	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
PKHD1	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
TTN	TCGA-28-5219-01A-01D-1486-08	3	GBM-28-5219
MUC17	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
IDH1	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
TP53	TCGA-28-5219-01A-01D-1486-08	2	GBM-28-5219
AHNAK2	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
RB1	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
SYNE1	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
RYR3	TCGA-28-5219-01A-01D-1486-08	0	GBM-28-5219
RYR2	TCGA-28-5219-01A-01D-1486-08	3	GBM-28-5219
PCLO	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
GPR98	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
OBSCN	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
PTEN	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
APOB	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
FRAS1	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
SPTA1	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
PIK3CA	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
HMCN1	TCGA-14-0789-01A-01D-1492-08	1	GBM-14-0789
EGFR	TCGA-14-0789-01A-01D-1492-08	3	GBM-14-0789
Unknown	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
LRP2	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
PIK3R1	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
RELN	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
USH2A	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
MUC16	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
NF1	TCGA-14-0789-01A-01D-1492-08	5	GBM-14-0789
DNAH5	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
ATRX	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
FLG	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
PKHD1	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
TTN	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
MUC17	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
IDH1	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
TP53	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
AHNAK2	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
RB1	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
SYNE1	TCGA-14-0789-01A-01D-1492-08	0	GBM-14-0789
RYR3	TCGA-14-0789-01A-01D-1492-08	3	GBM-14-0789
RYR2	TCGA-14-0789-01A-01D-1492-08	3	GBM-14-0789
PCLO	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
GPR98	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
OBSCN	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
PTEN	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
APOB	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
FRAS1	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
SPTA1	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
PIK3CA	TCGA-02-0047-01A-01D-1490-08	3	GBM-02-0047
HMCN1	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
EGFR	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
Unknown	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
LRP2	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
PIK3R1	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
RELN	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
USH2A	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
MUC16	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
NF1	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
DNAH5	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
ATRX	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
FLG	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
PKHD1	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
TTN	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
MUC17	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
IDH1	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
TP53	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
AHNAK2	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
RB1	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
SYNE1	TCGA-02-0047-01A-01D-1490-08	0	GBM-02-0047
RYR3	TCGA-02-0047-01A-01D-1490-08	3	GBM-02-0047
RYR2	TCGA-02-0047-01A-01D-1490-08	3	GBM-02-0047
PCLO	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
GPR98	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
OBSCN	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
PTEN	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
APOB	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
FRAS1	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
SPTA1	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
PIK3CA	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
HMCN1	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
EGFR	TCGA-15-0742-01A-01D-1492-08	3	GBM-15-0742
Unknown	TCGA-15-0742-01A-01D-1492-08	1	GBM-15-0742
LRP2	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
PIK3R1	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
RELN	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
USH2A	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
MUC16	TCGA-15-0742-01A-01D-1492-08	3	GBM-15-0742
NF1	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
DNAH5	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
ATRX	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
FLG	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
PKHD1	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
TTN	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
MUC17	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
IDH1	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
TP53	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
AHNAK2	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
RB1	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
SYNE1	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
RYR3	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
RYR2	TCGA-15-0742-01A-01D-1492-08	0	GBM-15-0742
PCLO	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
GPR98	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
OBSCN	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
PTEN	TCGA-06-0184-01A-01D-1491-08	3	GBM-06-0184
APOB	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
FRAS1	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
SPTA1	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
PIK3CA	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
HMCN1	TCGA-06-0184-01A-01D-1491-08	3	GBM-06-0184
EGFR	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
Unknown	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
LRP2	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
PIK3R1	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
RELN	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
USH2A	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
MUC16	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
NF1	TCGA-06-0184-01A-01D-1491-08	4	GBM-06-0184
DNAH5	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
ATRX	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
FLG	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
PKHD1	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
TTN	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
MUC17	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
IDH1	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
TP53	TCGA-06-0184-01A-01D-1491-08	3	GBM-06-0184
AHNAK2	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
RB1	TCGA-06-0184-01A-01D-1491-08	3	GBM-06-0184
SYNE1	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
RYR3	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
RYR2	TCGA-06-0184-01A-01D-1491-08	0	GBM-06-0184
PCLO	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
GPR98	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
OBSCN	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
PTEN	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
APOB	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
FRAS1	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
SPTA1	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
PIK3CA	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
HMCN1	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
EGFR	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
Unknown	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
LRP2	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
PIK3R1	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
RELN	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
USH2A	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
MUC16	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
NF1	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
DNAH5	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
ATRX	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
FLG	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
PKHD1	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
TTN	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
MUC17	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
IDH1	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
TP53	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
AHNAK2	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
RB1	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
SYNE1	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
RYR3	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
RYR2	TCGA-27-1832-01A-01D-1494-08	0	GBM-27-1832
PCLO	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
GPR98	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
OBSCN	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
PTEN	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
APOB	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
FRAS1	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
SPTA1	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
PIK3CA	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
HMCN1	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
EGFR	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
Unknown	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
LRP2	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
PIK3R1	TCGA-06-0877-01A-01D-1492-08	3	GBM-06-0877
RELN	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
USH2A	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
MUC16	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
NF1	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
DNAH5	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
ATRX	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
FLG	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
PKHD1	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
TTN	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
MUC17	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
IDH1	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
TP53	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
AHNAK2	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
RB1	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
SYNE1	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
RYR3	TCGA-06-0877-01A-01D-1492-08	0	GBM-06-0877
RYR2	TCGA-06-0877-01A-01D-1492-08	1	GBM-06-0877
PCLO	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
GPR98	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
OBSCN	TCGA-06-0237-01A-02D-1491-08	3	GBM-06-0237
PTEN	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
APOB	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
FRAS1	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
SPTA1	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
PIK3CA	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
HMCN1	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
EGFR	TCGA-06-0237-01A-02D-1491-08	3	GBM-06-0237
Unknown	TCGA-06-0237-01A-02D-1491-08	3	GBM-06-0237
LRP2	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
PIK3R1	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
RELN	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
USH2A	TCGA-06-0237-01A-02D-1491-08	3	GBM-06-0237
MUC16	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
NF1	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
DNAH5	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
ATRX	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
FLG	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
PKHD1	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
TTN	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
MUC17	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
IDH1	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
TP53	TCGA-06-0237-01A-02D-1491-08	3	GBM-06-0237
AHNAK2	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
RB1	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
SYNE1	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
RYR3	TCGA-06-0237-01A-02D-1491-08	0	GBM-06-0237
RYR2	TCGA-06-0237-01A-02D-1491-08	3	GBM-06-0237
PCLO	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
GPR98	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
OBSCN	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
PTEN	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
APOB	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
FRAS1	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
SPTA1	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
PIK3CA	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
HMCN1	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
EGFR	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
Unknown	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
LRP2	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
PIK3R1	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
RELN	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
USH2A	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
MUC16	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
NF1	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
DNAH5	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
ATRX	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
FLG	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
PKHD1	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
TTN	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
MUC17	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
IDH1	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
TP53	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
AHNAK2	TCGA-12-5299-01A-02D-1486-08	3	GBM-12-5299
RB1	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
SYNE1	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
RYR3	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
RYR2	TCGA-12-5299-01A-02D-1486-08	0	GBM-12-5299
PCLO	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
GPR98	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
OBSCN	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
PTEN	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
APOB	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
FRAS1	TCGA-76-4926-01B-01D-1486-08	1	GBM-76-4926
SPTA1	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
PIK3CA	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
HMCN1	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
EGFR	TCGA-76-4926-01B-01D-1486-08	3	GBM-76-4926
Unknown	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
LRP2	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
PIK3R1	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
RELN	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
USH2A	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
MUC16	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
NF1	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
DNAH5	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
ATRX	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
FLG	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
PKHD1	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
TTN	TCGA-76-4926-01B-01D-1486-08	1	GBM-76-4926
MUC17	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
IDH1	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
TP53	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
AHNAK2	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
RB1	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
SYNE1	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
RYR3	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
RYR2	TCGA-76-4926-01B-01D-1486-08	0	GBM-76-4926
PCLO	TCGA-28-5214-01A-01D-1486-08	0	GBM-28-5214
